customer_id,age,monthly_spend,tenure_months,country,device,support_tickets,churn
CUST_101,34,79.50,12,USA,iOS,1,0
CUST_102,45,,24,UK,Android,0,0
CUST_103,,120.00,3,Germany,iOS,4,1
CUST_104,29,45.20,6,USA,Android,,0
CUST_105,52,89.90,36,France,iOS,2,0
CUST_106,41,65.00,,UK,Android,0,0
CUST_107,,110.50,2,USA,Android,5,1
CUST_108,23,30.00,8,Germany,iOS,0,0
CUST_109,61,95.00,48,USA,iOS,1,0
CUST_110,38,55.40,15,France,Android,1,0
CUST_111,27,115.00,4,UK,iOS,3,1
CUST_112,49,,30,USA,Android,0,0
CUST_113,31,40.00,9,Germany,Android,,0
CUST_114,,85.50,18,USA,iOS,1,0
CUST_115,58,102.00,40,France,Android,2,0
CUST_116,22,25.00,5,UK,iOS,0,0
CUST_117,44,130.00,1,USA,Android,6,1
CUST_118,36,70.20,20,Germany,iOS,1,0
CUST_119,50,,28,France,Android,0,0
CUST_120,28,95.00,7,USA,iOS,3,1
